Name,Indian rupee
12/31/1978,0
1/31/1979,1852.8
2/28/1979,2010.4
3/30/1979,1974.9
4/30/1979,1960.9
5/31/1979,2119.4
6/29/1979,2248.9
7/31/1979,2309.7
8/31/1979,2409.8
9/28/1979,2865
10/31/1979,3204
11/30/1979,3183.5
12/31/1979,3731.8
1/31/1980,5358
2/29/1980,5286.7
3/31/1980,4511.5
4/30/1980,4164.4
5/30/1980,4053.3
6/30/1980,4711.1
7/31/1980,5012.4
8/29/1980,4867
9/30/1980,5211.1
10/31/1980,5112.3
11/28/1980,4833.7
12/31/1980,4705.2
1/30/1981,4430
2/27/1981,4110.2
3/31/1981,4093.1
4/30/1981,4107.8
5/29/1981,4034
6/30/1981,3968.2
7/31/1981,3632.1
8/31/1981,3705
9/30/1981,4039.1
10/30/1981,3998.6
11/30/1981,3766.8
12/31/1981,3749.3
1/29/1982,3507
2/26/1982,3440.4
3/31/1982,3064.7
4/30/1982,3274.2
5/31/1982,3107
6/30/1982,2970
7/30/1982,3224.8
8/31/1982,3468.6
9/30/1982,4223.6
10/29/1982,4094
11/30/1982,4050.1
12/31/1982,4296.4
1/31/1983,4734.4
2/28/1983,4880.2
3/31/1983,4183.6
4/29/1983,4309
5/31/1983,4365
6/30/1983,4153.3
7/29/1983,4255.1
8/31/1983,4230.6
9/30/1983,4204.6
10/31/1983,4021.9
11/30/1983,3949.9
12/30/1983,4063.4
1/31/1984,3966.9
2/29/1984,4129.8
3/30/1984,4228.2
4/30/1984,4116.2
5/31/1984,4139.7
6/29/1984,4173.9
7/31/1984,3934.7
8/31/1984,4003.5
9/28/1984,4016.6
10/31/1984,4070.5
11/30/1984,4105.2
12/31/1984,3908.7
1/31/1985,3813.3
2/28/1985,3869.6
3/29/1985,3856.6
4/30/1985,4005.6
5/31/1985,3917.7
6/28/1985,3910
7/31/1985,3800.5
8/30/1985,3918.4
9/30/1985,3894
10/31/1985,3902.6
11/29/1985,3903.3
12/31/1985,3871.6
1/31/1986,4214.4
2/28/1986,4175.8
3/31/1986,4210.4
4/30/1986,4199.6
5/30/1986,4253.5
6/30/1986,4294.2
7/31/1986,4345.9
8/29/1986,4702.3
9/30/1986,5263.4
10/31/1986,5431.1
11/28/1986,5188.3
12/31/1986,5107.2
1/30/1987,5287.4
2/27/1987,5213.6
3/31/1987,5249.5
4/30/1987,5576.8
5/29/1987,5825.5
6/30/1987,5759.7
7/31/1987,5839.1
